"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.792744,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.922543,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.563389,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28443,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.895836,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.980896,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2016",20.067352,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.012659,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2018",18.108641,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2019",17.132658,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2020",16.244976,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2021",15.46888,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.604309,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.342072,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.282364,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.539928,
"AUS","EDUADULT","TRY","PC_25_64","A","2014",41.901855,
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.888756,
"AUS","EDUADULT","TRY","PC_25_64","A","2016",43.7439,
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUS","EDUADULT","TRY","PC_25_64","A","2018",45.727478,
"AUS","EDUADULT","TRY","PC_25_64","A","2019",47.129978,
"AUS","EDUADULT","TRY","PC_25_64","A","2020",49.337452,
"AUS","EDUADULT","TRY","PC_25_64","A","2021",49.767868,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2010",35.602947,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2011",35.735386,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2012",35.154247,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2013",36.17564,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2014",35.202309,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2015",36.130348,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2016",36.188747,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2017",35.631668,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2018",36.163879,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2019",35.737366,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2020",34.417572,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2021",34.763252,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.647495,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2011",17.636829,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.08353,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.028002,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.143999,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2015",15.351305,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2016",15.471591,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2017",15.037577,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2018",14.702526,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2019",14.435863,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.341329,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2021",14.060361,
"AUT","EDUADULT","TRY","PC_25_64","A","2010",27.743721,
"AUT","EDUADULT","TRY","PC_25_64","A","2011",27.956152,
"AUT","EDUADULT","TRY","PC_25_64","A","2012",28.739943,
"AUT","EDUADULT","TRY","PC_25_64","A","2013",29.738844,
"AUT","EDUADULT","TRY","PC_25_64","A","2014",29.904896,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.550726,
"AUT","EDUADULT","TRY","PC_25_64","A","2016",31.383963,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"AUT","EDUADULT","TRY","PC_25_64","A","2018",32.711426,
"AUT","EDUADULT","TRY","PC_25_64","A","2019",33.773777,
"AUT","EDUADULT","TRY","PC_25_64","A","2020",34.205894,
"AUT","EDUADULT","TRY","PC_25_64","A","2021",34.604504,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2010",54.608784,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2011",54.407017,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2012",54.176529,
