"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.792744,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.922543,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.563389,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28443,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.895836,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.980896,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2016",20.067352,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.012659,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2018",18.108641,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2019",17.132658,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2020",16.244976,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2021",15.46888,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.647495,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2011",17.636829,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.08353,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.028002,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.143999,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2015",15.351305,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2016",15.471591,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2017",15.037577,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2018",14.702526,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2019",14.435863,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.341329,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2021",14.060361,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.500488,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.733294,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2012",28.356371,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2013",27.241648,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2014",26.44935,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2015",25.322903,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2016",24.905834,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2017",23.202787,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2018",21.773218,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2019",21.313864,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2020",20.218918,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2021",18.473303,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2010",11.736887,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2011",11.368477,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2012",11.035321,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2013",10.45779,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2014",10.011459,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2015",9.5978909,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2016",9.3911886,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2017",8.8729382,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2018",8.3779144,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2019",8.1420355,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2020",7.5580816,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.9325643,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2010",8.0573692,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2011",7.6677351,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2012",7.5491762,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2013",7.1797996,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2014",6.8099089,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2015",6.841207,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2016",6.5732007,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2017",6.2063141,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2018",6.1394086,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2019",6.2475748,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2020",5.9468889,
